Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
European ETFS, Funds, ETVs, ETNs. Type : ETFs26 Oct 2020All datapoints provided as of end of last active trading day."AMUNDI G AG500 UH";LU1778293313;GAHU;"Euronext Paris";USD;57.9967;57.9967;57.9768;57.9768;"26/10/20 17:35";CET;0;0
"AMUNDI EU CORP BBB";LU1681041387;CBBB;"Euronext Paris";EUR;16.322;16.322;16.248;16.248;"26/10/20 16:16";CET;1377;22373.496
"AMUNDI ETF CAC 40";LU1681046931;C40;"Euronext Paris";EUR;72.89;73.64;72.46;72.46;"26/10/20 17:35";CET;8277;599496.43
"AMUNDIETF CAC40(D)";LU1681047079;C4D;"Euronext Paris";EUR;49.12;49.535;48.80;48.825;"26/10/20 17:35";CET;518;25583.93
"AMUNDI PEA EM ALAT";FR0013412004;PALAT;"Euronext Paris";EUR;13.712;13.937;13.712;13.834;"26/10/20 17:35";CET;4696;64758.671
"AMUNDI ETF DAX DR";FR0010655712;CG1;"Euronext Paris";EUR;224.60;225.85;221.70;221.70;"26/10/20 17:35";CET;501;111687.70
"AMUNDI ETF INFL";FR0010754127;CI3;"Euronext Paris";EUR;231.35;231.35;230.74;230.74;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF GV 0-6M";FR0010754200;C3M;"Euronext Paris";EUR;116.93;116.93;116.93;116.93;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF IG 1015";FR0010754143;C10;"Euronext Paris";EUR;327.26;327.26;325.92;325.93;"26/10/20 17:35";CET;26;8498.46
"AMUNDI ETF IG 1-3";FR0010754135;C13;"Euronext Paris";EUR;168.66;168.66;168.60;168.60;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF IG 3-5";FR0010754168;C33;"Euronext Paris";EUR;206.02;206.02;205.84;205.84;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF IG 5-7";FR0010754176;C53;"Euronext Paris";EUR;246.69;246.69;246.35;246.35;"26/10/20 17:35";CET;0;0.00
"AMUNDI BOND IG 57D";FR0013506649;C53D;"Euronext Paris";EUR;51.08;51.08;51.08;51.08;"14/09/20 10:29";CET;1;51.08
"AMUNDI ETF IG 7-10";FR0010754184;C73;"Euronext Paris";EUR;284.67;284.67;284.03;284.03;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF MKT NEU";FR0013284304;MKTN;"Euronext Paris";EUR;21.26;21.26;21.235;21.235;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF LEV USA";FR0010755611;CL2;"Euronext Paris";EUR;2238.50;2265.50;2195.50;2195.50;"26/10/20 17:35";CET;251;557225.00
"AMUNDI MSCI BRAZIL";LU1437024992;BRZ;"Euronext Paris";USD;36.257;36.68;36.257;36.68;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF EMU HDV";FR0010717090;CD8;"Euronext Paris";EUR;107.42;108.06;106.68;106.82;"26/10/20 17:35";CET;991;106839.12
"AMUNDI ETF EU BANK";FR0010688176;CB5;"Euronext Paris";EUR;46.78;47.735;46.78;46.915;"26/10/20 17:35";CET;238;11236.555
"AMUNDI EUR BUYBACK";FR0012805687;BBEU;"Euronext Paris";EUR;172.50;172.50;171.50;171.50;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF MS E EN";FR0010930644;ANRJ;"Euronext Paris";EUR;135.52;137.26;134.80;135.36;"26/10/20 17:35";CET;123;16698.98
"AMUNDI ETF EU X EM";FR0010821819;CU9;"Euronext Paris";EUR;227.01;227.01;226.82;226.82;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF EU HEAL";FR0010688192;CH5;"Euronext Paris";EUR;279.55;281.50;279.55;280.35;"26/10/20 17:35";CET;1;281.50
"AMUNDI ETF MS FRA";FR0010655704;CF1;"Euronext Paris";EUR;236.70;239.10;235.25;235.30;"26/10/20 17:35";CET;113;26637.80
"AMUNDI ETF MS SPA";FR0010655746;CS1;"Euronext Paris";EUR;144.48;146.48;144.48;144.52;"26/10/20 17:35";CET;78;11354.10
"AMUNDI ETF MSCI UK";FR0010655761;CU1;"Euronext Paris";EUR;153.08;153.18;153.08;153.18;"26/10/20 17:35";CET;0;0.00
"AMUNDI ETF W X EMU";FR0010756114;CM9;"Euronext Paris";EUR;320.61;321.77;317.84;317.84;"26/10/20 17:35";CET;29;9308.43
"AMUNDI PEA TOPIX H";FR0013411998;PTPXH;"Euronext Paris";EUR;20.148;20.148;20.116;20.116;"26/10/20 17:35";CET;0;0.00
"AMUNDI PEA TOPIX";FR0013411980;PTPXE;"Euronext Paris";EUR;20.538;20.572;20.487;20.543;"26/10/20 17:35";CET;2991;61392.794
"AMUNDI PEA EM ASIA";FR0013412012;PAASI;"Euronext Paris";EUR;22.44;22.606;22.394;22.468;"26/10/20 17:35";CET;522910;401944.615
"AMUNDI PEA MSCI EM";FR0013412020;PAEEM;"Euronext Paris";EUR;20.335;20.482;20.306;20.362;"26/10/20 17:35";CET;3694;75219.098
"AMUNDI PEA EUROPE";FR0013412038;PCEU;"Euronext Paris";EUR;18.716;18.92;18.678;18.68;"26/10/20 17:35";CET;3257;61209.974
"AMUNDI PEA NASDAQ";FR0013412269;PANX;"Euronext Paris";EUR;28.168;28.50;27.924;27.924;"26/10/20 17:35";CET;11352;319622.156
"AMUNDI PEA SP500 H";FR0013412293;P500H;"Euronext Paris";EUR;23.305;23.337;23.033;23.033;"26/10/20 17:35";CET;8916;207279.571
"AMUNDI PEA SP500";FR0013412285;PE500;"Euronext Paris";EUR;22.674;22.788;22.435;22.435;"26/10/20 17:35";CET;9879;223103.924
"AMUNDI ETF SH CAC";FR0010717124;C4S;"Euronext Paris";EUR;19.208;19.306;19.134;19.306;"26/10/20 17:35";CET;597;11500.112
