FR0011550193;STOXX Europe 600
FR0011550185;S&P 500
FR0013411980;TOPIX
FR0011869312;MSCI AC Asia Pacific ex Japan
FR0013412020;MSCI Emerging Markets
LU1834988278;STOXX Europe 600 Oil & Gas
LU1834988781;STOXX Europe 600 Travel & Leisure
FR0013412004;MSCI Emerging Markets Latin America
LU1834983477;STOXX Europe 600 Banks
FR0011869304;FTSE EPRA/NAREIT Developed Europe
FR0011869395;MSCI Turkey
FR0011869387;MSCI Russia IMI Select GDR
FR0010405431;MSCI Greece
LU1812092168;STOXX Europe Select Dividend 30
FR0011871144;MSCI South Africa
FR0011869205;MSCI Brazil
